# (1) Identification number
# (2) Right Ascension [deg]
# (3) Declination [deg]
# (4) F150W magnitudes in the AB system
# (5) F200W magnitudes in the AB system
#
# (1)  (2)           (3)            (4)      (5)
  113  110.76612615  -73.44541947   29.373   29.310
  114  110.70179642  -73.45847840   28.965   28.773
  115  110.66902177  -73.46512413   29.583   29.476
  116  110.75170202  -73.44837319   29.745   29.159
  117  110.61604717  -73.47582730   27.050   27.189
  118  110.78331708  -73.44195789   30.160   29.571
  119  110.66320705  -73.46634083   28.025   28.169
  120  110.77397853  -73.44389116   26.903   26.977
  121  110.84179707  -73.43010010   28.088   28.180
  122  110.78124210  -73.44243355   29.495   29.087
  123  110.75212463  -73.44845133   29.866   29.580
  124  110.75912861  -73.44703136   29.621   29.511
  125  110.79987422  -73.43875855   29.463   29.179
  126  110.67239519  -73.46465167   29.640   29.551
  127  110.74014189  -73.45094822   29.800   29.348
  128  110.77463351  -73.44394483   29.809   29.526
  129  110.77091996  -73.44471289   29.008   28.757
  130  110.78352583  -73.44219557   28.738   28.582
  131  110.59781760  -73.47980627   29.306   29.435
  132  110.68813240  -73.46159363   29.114   29.116
  133  110.74996863  -73.44909873   29.752   29.547
  134  110.78885964  -73.44120474   29.383   29.103
  135  110.77021638  -73.44500180   29.465   29.252
  136  110.69927018  -73.45941076   29.659   29.542
  137  110.85081313  -73.42864705   29.732   29.369
  138  110.61951460  -73.47557865   26.924   27.030
  139  110.65168833  -73.46915042   29.581   29.554
  140  110.80573286  -73.43792365   29.378   29.379
  141  110.76350580  -73.44651692   28.418   28.138
  142  110.66781838  -73.46592850   29.482   29.530
  143  110.64051182  -73.47146275   28.327   28.289
  144  110.74510003  -73.45030239   29.773   29.412
  145  110.84154963  -73.43083585   29.462   29.126
  146  110.84164305  -73.43083315   29.610   29.454
  147  110.70184851  -73.45929214   29.188   29.305
  148  110.64349495  -73.47109651   29.293   29.197
  149  110.78883915  -73.44173252   29.445   29.334
  150  110.76030266  -73.44756182   27.594   27.381
  151  110.67651751  -73.46454547   29.338   29.138
  152  110.71258593  -73.45725085   28.750   28.768
  153  110.70381633  -73.45905424   29.633   29.498
  154  110.75222383  -73.44924036   29.177   28.994
  155  110.74715677  -73.45030820   29.485   29.351
  156  110.70275800  -73.45933156   29.773   29.473
  157  110.65645820  -73.46881458   29.098   29.152
  158  110.74298101  -73.45130602   29.593   29.305
  159  110.70939058  -73.45814781   29.922   29.571
  160  110.75263123  -73.44938796   30.061   29.494
  161  110.65201221  -73.46995488   28.780   28.591
  162  110.74696156  -73.45075641   29.719   29.505
  163  110.69719600  -73.46086445   29.535   29.300
  164  110.82093557  -73.43587720   28.770   28.791
  165  110.77607574  -73.44500683   29.013   28.930
  166  110.65307192  -73.46993931   29.041   28.571
  167  110.60168526  -73.48031788   29.566   29.417
  168  110.60163913  -73.48034005   29.728   29.559
  169  110.77908124  -73.44445547   29.627   29.494
  170  110.69978434  -73.46058255   28.653   28.689
  171  110.77160409  -73.44603431   29.749   29.573
  172  110.76086091  -73.44825373   29.670   29.391
  173  110.62011163  -73.47675769   26.932   27.063
  174  110.60144940  -73.48054683   27.101   27.153
  175  110.81767048  -73.43675961   29.179   29.086
  176  110.77342026  -73.44590748   27.202   27.304
  177  110.62612390  -73.47573701   29.656   29.540
  178  110.75456205  -73.44979431   28.460   28.383
  179  110.83777540  -73.43288002   26.934   27.048
  180  110.67644047  -73.46575879   27.373   27.493
  181  110.78499381  -73.44376843   29.553   29.385
  182  110.64396633  -73.47235181   26.738   26.874
  183  110.76817239  -73.44723125   29.489   29.200
  184  110.74973766  -73.45098891   29.593   29.201
  185  110.75881569  -73.44916774   29.120   29.142
  186  110.76325449  -73.44841002   28.888   28.704
  187  110.68414824  -73.46456070   29.532   29.437
  188  110.80261332  -73.44060250   28.280   28.346
  189  110.75086786  -73.45114340   29.240   29.364
  190  110.61240831  -73.47919208   29.725   29.235
  191  110.76012559  -73.44932632   29.061   29.050
  192  110.75496441  -73.45037537   29.348   29.483
  193  110.77499713  -73.44634789   29.334   29.187
  194  110.71243069  -73.45904533   29.105   28.891
  195  110.76742010  -73.44791957   29.721   29.429
  196  110.78901279  -73.44355227   29.234   28.975
  197  110.78937779  -73.44354147   29.762   29.456
  198  110.79001632  -73.44343536   29.101   29.116
  199  110.68653648  -73.46456915   29.565   29.308
  200  110.85362845  -73.43064781   29.011   29.084
  201  110.82745066  -73.43599735   29.916   29.417
  202  110.74768186  -73.45222773   29.516   29.381
  203  110.70757264  -73.46037408   29.566   29.422
  204  110.78155876  -73.44538491   28.614   28.457
  205  110.77668220  -73.44644361   29.207   29.152
  206  110.82439386  -73.43678944   28.914   28.735
  207  110.80146102  -73.44156563   29.136   29.043
  208  110.63676988  -73.47494493   29.732   29.368
  209  110.76815774  -73.44834967   29.616   29.370
  210  110.60945420  -73.48051628   29.904   29.450
  211  110.77660893  -73.44670911   28.857   28.897
  212  110.77610046  -73.44684170   28.307   28.155
  213  110.61499267  -73.47945974   30.026   29.377
  214  110.75299035  -73.45156597   28.976   28.908
  215  110.64059736  -73.47441204   29.520   29.537
  216  110.85249108  -73.43141505   28.879   28.766
  217  110.61040665  -73.48051073   29.542   29.205
  218  110.75204144  -73.45189067   28.953   28.598
  219  110.74805383  -73.45270919   29.650   29.332
